1001,Harrison,Ford,Male
1002,Daisy,Ridley,Female
1003,Natalie ,Portman,Female
1004,Reese ,Witherspoon,Female
1005,Lindsay,Lohan,Female
1006,Alicia,Silverstone,Female
1007,Meryl,Streep,Female
1008,Tom,Hanks,Male
1009,Audrey,Hepburn,Female
1010,Bill,Murray,Male
1011,Robert,Shaw,Male
1012,Molly ,Ringwald,Female
1013,Whoopi,Goldberg,Female
1014,Mark,Hamill,Male
1015,Matthew,Broderick,Male
1016,Anthony,Perkins,Male
1017,Leonardo ,DiCaprio,Male
1018,Macaulay,Culkin,Male
1019,John,Travolta,Male
1020,Rami,Malek,Male
1021,Alden,Ehrenreich,Male
1022,Thandie,Newton,Female
1023,Stacey,Dash,Female
1024,Kate,Winslet,Female
1025,Kristen ,Wiig,Female